X;Y;Z;Density;Cut
24300;24800;3600;3.16;0.119
24316;24800;3600;3.07;0.155
24332;24800;3600;2.82;0.246
24348;24800;3600;2.97;0.267
24364;24800;3600;2.99;0.323
24380;24800;3600;3.09;0.239
24236;24800;3600;3.1;0
24396;24800;3600;3.11;0.282
24412;24800;3600;3.09;0.22
24428;24800;3600;2.87;0.278
24440;24800;3600;2.6;2.3
24444;24800;3600;3.03;0.177
24460;24800;3600;2.82;0.272
24476;24800;3600;3;0.328
24476;21716;3600;2.6;2.2
24492;24800;3600;3.06;0.334
24508;24800;3600;2.99;0.217
24524;24800;3600;3.2;0.28
24220;24800;3600;2.8;2.3
24540;24800;3600;3.2;0.255
24556;24800;3600;2.88;0.235
24572;24800;3600;3.03;0.352
24588;24800;3600;2.88;0.289
24604;24800;3600;3.2;0.167
24620;24800;3600;3.03;0.137
24636;24800;3600;2.92;0.086
24652;24800;3600;2.99;0.043
24668;24800;3600;3;0.047
24684;24800;3600;2.82;0.083
24700;24800;3600;2.84;0.075
24716;24800;3600;3.19;0.211
